33
-40, 20, 20, 20
-20, 300, 150, 50
200, 300, 150, 50
400, 400, 150, 50
600, 400, 150, 50
800, 500, 150, 50
1000, 400, 150, 50
1200, 350, 100, 50
1300, 300, 200, 50
1500, 350, 200, 50
1700, 400, 200, 50
1900, 450, 200, 50
2100, 500, 400, 50
2500, 550, 400, 50
2900, 450, 100, 150
3000, 550, 300, 50
3300, 450, 100, 150
3400, 500, 200, 100
3600, 400, 100, 200
3700, 450, 200, 150
3900, 350, 100, 250
4000, 400, 200, 200
4200, 300, 100, 300
4300, 350, 200, 250
4500, 250, 100, 350
4600, 300, 200, 300
4800, 200, 100, 400
4900, 250, 200, 350
5100, 150, 100, 450
5200, 200, 200, 400 
5400, 500, 750, 100 
6150, 560, 50, 40
6200, 0, 100, 600
